"Disaster#","Type","County","State","Latitude","Longitude","Damage","Approved","Repair","Population","IncomeCapita","DisasterBegin","DisasterEnd","Duration"
1820,"Severe Storm","Carter","Oklahoma",34.2509,-97.2858,46639.35,0,0,48380,21476,2009-02-10,2009-02-11,1
1809,"Severe Storm","St. Louis","Missouri",38.6407,-90.4434,15750.51,30336.4,12778.15,996179,NA,2008-09-11,2008-09-24,13
1809,"Severe Storm","St. Louis","Missouri",38.6359,-90.2451,15750.51,30336.4,12778.15,304709,NA,2008-09-11,2008-09-24,13
1795,"Severe Storm","Knox","Indiana",38.6891,-87.418,1386.15,0,0,36833,21047,2008-09-12,2008-10-06,24
1800,"Severe Storm","Grundy","Illinois",41.2851,-88.4185,25765.54,23950.57,21657.13,50798,28725,2008-09-13,2008-10-05,22
1773,"Severe Storm","Lewis","Missouri",40.0969,-91.7221,14174.97,14174.97,14174.97,9898,19317,2008-06-01,2008-08-13,73
1771,"Severe Storm","Coles","Illinois",39.5203,-88.2218,140008.78,64985.98,55315.46,51065,21970,2008-06-01,2008-07-22,51
1770,"Severe Storm","Dawson","Nebraska",40.8699,-99.8196,200.75,200.75,200.75,23638,20142,2008-05-22,2008-06-24,33
1769,"Severe Storm","Wetzel","West Virginia",39.6053,-80.6391,4530.18,4530.18,4530.18,15291,21653,2008-06-03,2008-06-07,4
1768,"Severe Storm","Dodge","Wisconsin",43.4163,-88.7075,266485.95,226274.68,205701.53,87569,24573,2008-06-05,2008-07-25,50
1766,"Severe Storm","Hamilton","Indiana",40.0725,-86.052,19604.29,20826.29,17748.54,330455,39521,2008-05-30,2008-06-27,28
1761,"Severe Storm","Johnson","Georgia",32.7015,-82.6601,731.6,0,0,9717,16807,2008-05-11,2008-05-12,1
1760,"Severe Storm","Newton","Missouri",36.9055,-94.3393,0,0,0,58288,22341,2008-05-10,2008-05-11,1
1758,"Severe Storm","Mississippi","Arkansas",35.7624,-90.0521,95864.31,82620.43,68876.4,41396,NA,2008-05-02,2008-05-12,10
1756,"Severe Storm","Craig","Oklahoma",36.7618,-95.2085,288371.48,0,0,14274,19820,2008-05-10,2008-05-13,3
1753,"Severe Storm","Wilkinson","Mississippi",31.1611,-91.3109,59050.42,60209.63,37939.47,8727,18717,2008-03-20,2008-05-19,60
1751,"Severe Storm","Arkansas","Arkansas",34.2892,-91.3742,0,0,0,17761,22170,2008-03-18,2008-04-28,41
1750,"Severe Storm","Floyd","Georgia",34.2632,-85.2143,1023.25,1981.25,1023.25,97805,20500,2008-03-14,2008-03-16,2
1749,"Severe Storm","Gasconade","Missouri",38.4409,-91.5079,12692.92,14573.92,12692.92,14673,21830,2008-03-17,2008-05-09,53
1764,"Severe Storm","Hinds","Mississippi",32.2667,-90.4429,50247.62,8287.03,6999.03,235604,20448,2008-04-04,2008-04-04,0
1747,"Severe Storm","Livingston","Illinois",40.8916,-88.5577,9134.43,8874.43,8874.43,35757,24952,2008-01-07,2008-03-14,67
1746,"Severe Storm","Harrison","Kentucky",38.4418,-84.3314,210.88,0,0,18763,21424,2008-02-05,2008-02-06,1
1745,"Severe Storm","McNairy","Tennessee",35.1755,-88.5636,30,0,0,25814,18428,2008-02-05,2008-02-06,1
1740,"Severe Storm","Kosciusko","Indiana",41.2441,-85.8607,0,0,0,79156,24881,2008-01-07,2008-03-14,67
1744,"Severe Storm","Baxter","Arkansas",36.2872,-92.3369,6375.62,6375.62,6375.62,41673,21334,2008-02-05,2008-02-12,7
1762,"Severe Storm","Weld","Colorado",40.5548,-104.3925,3838.28,0,0,315389,25468,2008-05-22,2008-05-22,0
1734,"Severe Storm","Wahkiakum","Washington",46.2918,-123.4244,73749.01,33878.01,22943.01,4318,22334,2007-12-01,2007-12-17,16
1733,"Severe Storm","Columbia","Oregon",45.9438,-123.0883,787233.01,370993.2,320159.57,52117,26271,2007-12-01,2007-12-17,16
1738,"Severe Storm","Lyon","Nevada",39.0206,-119.189,1908887.97,1730453.5,1576113.22,55667,21757,2008-01-05,2008-01-10,5
1729,"Severe Storm","Kane","Illinois",41.9388,-88.4286,54622.36,47968.36,39027.18,531756,30082,2007-08-20,2007-08-31,11
1732,"Severe Storm","Lake","Indiana",41.4167,-87.3821,427890.68,316122.74,265440.53,485983,23918,2007-08-15,2007-08-27,12
1720,"Severe Storm","Allen","Ohio",40.7715,-84.1058,1297.34,1297.34,1297.34,102808,22295,2007-08-20,2007-08-28,8
1719,"Severe Storm","Jefferson","Wisconsin",43.0208,-88.7759,0,0,0,84837,25625,2007-08-18,2007-08-31,13
1718,"Severe Storm","Caddo","Oklahoma",35.1744,-98.3752,92794.69,27799.46,21495.81,29179,17858,2007-08-18,2007-09-12,25
1712,"Severe Storm","Delaware","Oklahoma",36.4082,-94.8026,9599.42,9978.42,9599.42,42741,NA,2007-06-10,2007-07-25,45
1722,"Severe Storm","Stephenson","Illinois",42.3518,-89.6623,1156.36,4656.36,4656.36,44683,23350,2007-08-07,2007-08-08,1
1717,"Severe Storm","Dodge","Minnesota",44.0226,-92.862,965.21,965.21,765.22,20807,29107,2007-08-18,2007-08-31,13
1709,"Severe Storm","Atascosa","Texas",28.8935,-98.5272,250.56,0,0,50194,20193,2007-06-16,2007-08-03,48
1730,"Severe Storm","Taylor","Texas",32.3015,-99.8902,0,0,0,137521,23141,2007-08-14,2007-08-20,6
1724,"Severe Storm","Queens","New York",40.7023,-73.8203,10790.3,9595.72,9595.72,2270976,26495,2007-08-08,2007-08-08,0
1726,"Severe Storm","Grand Forks","North Dakota",47.9219,-97.4569,730.15,54.8,54.8,70243,27026,2007-08-26,2007-08-27,1
1708,"Severe Storm","Clay","Missouri",39.3105,-94.4209,35471.87,21528.59,17238.83,246480,29406,2007-05-05,2007-05-18,13
1705,"Severe Storm","Crawford","Iowa",42.0372,-95.382,3262.81,3322.88,2693.09,16998,22748,2007-05-05,2007-05-07,2
1699,"Severe Storm","Phillips","Kansas",39.7846,-99.347,5854.06,691.6,321.62,5297,23772,2007-05-04,2007-06-01,28
1702,"Severe Storm","Marshall","South Dakota",45.7586,-97.5986,683.51,348.19,348.19,4881,24205,2007-05-04,2007-06-08,35
1700,"Severe Storm","Litchfield","Connecticut",41.7925,-73.2453,11093.07,9670.5,9670.5,181143,37667,2007-04-15,2007-04-27,12
1697,"Severe Storm","Denton","Texas",33.2055,-97.1168,47022.54,34290.58,32089.25,861690,33855,2007-04-21,2007-04-24,3
1693,"Severe Storm","Lincoln","Maine",44.0664,-69.5435,1188.33,0,0,34415,28070,2007-04-15,2007-04-23,8
1686,"Severe Storm","Worth","Georgia",31.5515,-83.8509,87384.02,10572.61,10072.61,20346,18551,2007-03-01,2007-03-02,1
1687,"Severe Storm","Wilcox","Alabama",31.9893,-87.3082,2277.07,2132.58,1224.09,10552,13379,2007-03-01,2007-03-01,0
1685,"Severe Storm","Jefferson","Louisiana",29.7872,-90.1274,0,0,0,434903,26908,2007-02-12,2007-02-13,1
1671,"Severe Storm","Skagit","Washington",48.4793,-121.7305,0,0,0,127442,27065,2006-11-02,2006-11-11,9
1695,"Severe Storm","Rockingham","New Hampshire",42.9876,-71.1254,9484.55,20945.4,20945.4,308211,38399,2007-04-15,2007-04-23,8
1690,"Severe Storm","Curry","New Mexico",34.5742,-103.347,1352101.58,528176.25,449115.82,49502,21259,2007-03-23,2007-03-24,1
1679,"Severe Storm","Sumter","Florida",28.7048,-82.081,1073051.88,18600.37,10678.56,129938,27504,2007-02-01,2007-02-02,1
1643,"Severe Storm","Belknap","New Hampshire",43.5179,-71.4227,9696.88,9257.03,9257.03,61174,30518,2006-05-12,2006-05-23,11
