"Disaster#","Type","County","State","Latitude","Longitude","Damage","Approved","Repair","Population","IncomeCapita","DisasterBegin","DisasterEnd","Duration"
4595,"Flood","Jessamine","Kentucky",37.8721,-84.5809,13350.01,328.1,328.1,53476,25637,2021-02-27,2021-03-14,15
4601,"Tornado","Williamson","Tennessee",35.8938,-86.8987,10322.4,12426.9,8891.39,232380,41292,2021-03-25,2021-04-03,9
4590,"Severe Ice Storm","Catahoula","Louisiana",31.6662,-91.847,6000.72,7216.72,4762.59,9586,19970,2021-02-11,2021-02-19,8
4587,"Severe Ice Storm","Lincoln","Oklahoma",35.703,-96.8809,0,0,0,34936,21888,2021-02-08,2021-02-20,12
4586,"Severe Ice Storm","Hamilton","Texas",31.7048,-98.1107,0,0,0,8434,23067,2021-02-11,2021-02-21,10
4576,"Hurricane","Harrison","Mississippi",30.5122,-89.1161,634154.85,641225.23,459626.31,206169,22677,2020-10-28,2020-10-29,1
4573,"Hurricane","Perry","Alabama",32.6384,-87.2944,18255.39,14656.25,10815.57,9104,13716,2020-10-28,2020-10-29,1
4577,"Hurricane","Lafourche","Louisiana",29.5661,-90.4256,17800.06,22535.57,15819.23,97980,24798,2020-10-26,2020-10-29,3
4570,"Hurricane","Beauregard","Louisiana",30.6486,-93.3432,149894.04,65207.77,50279.44,37387,22509,2020-10-06,2020-10-10,4
4569,"Fire","Madera","California",37.2181,-119.7626,0,0,0,155925,17847,2020-09-04,2020-11-17,74
4564,"Hurricane","Escambia","Florida",30.669,-87.363,0,0,0,316691,23441,2020-09-14,2020-09-28,14
4562,"Fire","Klamath","Oregon",42.6863,-121.6501,0,0,0,67606,21489,2020-09-07,2020-11-03,57
4563,"Hurricane","Baldwin","Alabama",30.7276,-87.7226,2113.52,3957.52,1449.51,218289,26766,2020-09-14,2020-09-16,2
4559,"Hurricane","Cameron","Louisiana",29.8754,-93.1937,0,0,0,6963,29559,2020-08-22,2020-08-27,5
4558,"Fire","Santa Cruz","California",37.0562,-122.0018,485406.98,47669.09,35930.09,273170,32295,2020-08-14,2020-09-26,43
4547,"Dam/Levee Break","Iosco","Michigan",44.3559,-83.6359,26537.63,30394.05,22162.08,25213,22047,2020-05-16,2020-05-22,6
4535,"Biological","Laramie","Wyoming",41.3071,-104.6896,0,5581.5,0,99272,28505,2020-01-20,NA,NA
4534,"Biological","Fremont","Idaho",44.2288,-111.4819,0,0,0,13111,19475,2020-01-20,NA,NA
4548,"Earthquake","Davis","Utah",40.99,-112.1115,0,0,0,350761,26035,2020-03-18,2020-04-17,30
4531,"Biological","Chippewa","Minnesota",45.0223,-95.5667,0,12078.03,0,11876,25993,2020-01-20,NA,NA
4536,"Severe Storm","Panola","Mississippi",34.3639,-89.9506,12501.15,17767.34,6717.34,34079,18073,2020-04-12,2020-04-12,0
1970,"Severe Storm","Atoka","Oklahoma",34.3736,-96.0378,1272.7,0,0,13815,17842,2011-04-14,2011-04-14,0
4519,"Flood","Umatilla","Oregon",45.5919,-118.7369,187.89,13787.89,13787.89,77319,20836,2020-02-05,2020-02-09,4
4483,"Biological","Cerro Gordo","Iowa",43.0816,-93.2608,0,41334.44,0,42672,27291,2020-01-20,NA,NA
4476,"Tornado","Davidson","Tennessee",36.1695,-86.7847,0,0,0,690540,28467,2020-03-03,2020-03-03,0
4482,"Biological","Butte","California",39.6669,-121.6007,0,2683.42,0,223344,23787,2020-01-20,NA,NA
4481,"Biological","Douglas","Washington",47.7361,-119.6918,0,2786.78,0,42520,22467,2020-01-20,NA,NA
4466,"Flood","San Jacinto","Texas",30.5795,-95.1669,0,0,0,28574,24733,2019-09-17,2019-09-23,6
4480,"Biological","Albany","New York",42.6002,-73.9736,0,9000,0,306165,32328,2020-01-20,NA,NA
4673,"Hurricane","Seminole","Florida",28.717,-81.2363,0,700,0,466695,28675,2022-09-23,2022-11-04,42
4454,"Flood","Cameron","Texas",26.1333,-97.5182,7530.49,17123.73,6687.73,422135,14710,2019-06-24,2019-06-25,1
4441,"Flood","Arkansas","Arkansas",34.2892,-91.3742,0,0,0,17761,22170,2019-05-21,2019-06-14,24
4447,"Tornado","Hocking","Ohio",39.497,-82.4792,0,0,0,28306,21037,2019-05-27,2019-05-29,2
4440,"Flood","Dewey","South Dakota",45.1566,-100.8718,1557.28,1457.28,1240.02,5841,15558,2019-03-13,2019-04-26,44
4421,"Flood","Mills","Iowa",41.0334,-95.6213,0,0,0,15023,27101,2019-03-12,2019-06-15,95
1486,"Severe Storm","Columbia","New York",42.2501,-73.6318,729.36,579.28,579.28,60016,33613,2003-07-21,2003-08-13,23
4419,"Tornado","Lee","Alabama",32.6011,-85.3555,0,0,0,163461,23506,2019-03-03,2019-03-03,0
4402,"Flood","Vernon","Wisconsin",43.5939,-90.8344,1215,0,0,30759,22680,2018-08-17,2018-09-14,28
4413,"Earthquake","Anchorage","Alaska",61.1508,-149.1091,77046.7,130435.43,96388.38,292090,36214,2018-11-30,2018-11-30,0
4400,"Hurricane","Decatur","Georgia",30.8783,-84.579,2513.14,813.47,752.7,26595,18059,2018-10-09,2018-10-23,14
4393,"Hurricane","Greene","North Carolina",35.485,-77.6758,702.49,665.87,665.87,20987,18441,2018-09-07,2018-09-29,22
4399,"Hurricane","Calhoun","Florida",30.406,-85.1972,439.94,0,0,14324,14675,2018-10-07,2018-10-19,12
4407,"Fire","Ventura","California",34.4561,-119.0836,0,0,0,845599,32930,2018-11-08,2018-11-25,17
4394,"Hurricane","Horry","South Carolina",33.9214,-78.9966,2782231.69,1965147.59,1253943.14,344186,24002,2018-09-08,2018-10-08,30
4533,"Biological","Kodiak Island","Alaska",57.6807,-153.7972,0,0,0,13383,28562,2020-01-20,NA,NA
4365,"Flood","Kauai","Hawaii",22.0398,-159.5966,10367.12,12807.12,10367.12,71949,26658,2018-04-13,2018-04-16,3
4363,"Flood","Floyd","Indiana",38.3188,-85.907,871.21,871.21,871.21,77879,27185,2018-02-14,2018-03-04,18
4530,"Biological","Choctaw","Oklahoma",34.0266,-95.5522,0,6303,0,14727,17739,2020-01-20,NA,NA
4382,"Fire","Lake","California",39.0996,-122.7532,0,0,0,64276,21537,2018-07-23,2018-09-19,58
4377,"Flood","Jim Wells","Texas",27.7314,-98.0899,3009.49,3519.2,1441.2,40796,20452,2018-06-19,2018-07-13,24
4353,"Fire","Los Angeles","California",34.3209,-118.2247,0,0,0,10040682,27749,2017-12-04,2018-01-31,58
4344,"Fire","Lake","California",39.0996,-122.7532,0,0,0,64276,21537,2017-10-08,2017-10-31,23
4338,"Hurricane","Chatham","Georgia",32.0043,-81.1329,0,0,0,289649,25093,2017-09-07,2017-09-20,13
4337,"Hurricane","Charlotte","Florida",26.9055,-81.9123,1498.5,2378,0,185926,26286,2017-09-04,2017-10-18,44
4332,"Hurricane","Brazoria","Texas",29.1897,-95.4521,38866.41,40424.39,33489.33,368062,29081,2017-08-23,2017-09-15,23
4317,"Flood","Butler","Missouri",36.7164,-90.4066,32972.29,31748.53,24861.47,42570,19246,2017-04-28,2017-05-11,13
4529,"Biological","Bernalillo","New Mexico",35.0514,-106.6702,0,0,0,679037,26814,2020-01-20,NA,NA
4528,"Biological","Benton","Mississippi",34.8173,-89.1885,0,0,0,8275,18597,2020-01-20,NA,NA
4527,"Biological","Lincoln","South Dakota",43.2789,-96.7218,0,18000,0,58887,34839,2020-01-20,NA,NA
4297,"Tornado","Thomas","Georgia",30.8637,-83.9193,26.24,0,0,44545,19983,2017-01-21,2017-01-22,1
4295,"Tornado","Perry","Mississippi",31.172,-88.9923,179.64,0,0,11981,17183,2017-01-20,2017-01-21,1
4290,"Flood","Le Sueur","Minnesota",44.3714,-93.7301,1625.31,393.88,393.88,28425,27793,2016-09-21,2016-09-24,3
4286,"Hurricane","Dorchester","South Carolina",33.0793,-80.4067,3735.82,5505.36,2660.58,161309,24495,2016-10-04,2016-10-30,26
4285,"Hurricane","Anson","North Carolina",34.9738,-80.1027,6950.35,5193.1,3399.1,24430,16752,2016-10-04,2016-10-24,20
4291,"Hurricane","Suffolk","Virginia",36.6953,-76.6398,77636.16,44567.67,38377.01,91383,NA,2016-10-07,2016-10-15,8
4293,"Fire","Sevier","Tennessee",35.7846,-83.5242,0,0,0,98007,22242,2016-11-28,2016-12-09,11
4283,"Hurricane","Flagler","Florida",29.4614,-81.3136,0,0,0,112854,24497,2016-10-03,2016-10-19,16
4284,"Hurricane","McIntosh","Georgia",31.4963,-81.4103,15413.68,14963.08,14963.08,14217,21484,2016-10-04,2016-10-15,11
4277,"Flood","St. Tammany","Louisiana",30.4102,-89.9583,10550.46,15432.41,4631.6,258447,30363,2016-08-11,2016-08-31,20
4280,"Hurricane","Hillsborough","Florida",27.9292,-82.3092,12008.74,0,0,1451358,27149,2016-08-31,2016-09-11,11
4273,"Flood","Greenbrier","West Virginia",37.947,-80.453,625390.09,461442.09,345922.51,34893,21720,2016-06-22,2016-06-29,7
4300,"Tornado","Orleans","Louisiana",30.0687,-89.9288,0,0,0,391249,26500,2017-02-07,2017-02-07,0
4272,"Flood","Brazos","Texas",30.6608,-96.3024,93015.72,55928.86,38675.12,226370,21720,2016-05-22,2016-06-24,33
4269,"Flood","Fort Bend","Texas",29.5275,-95.7709,10070.05,12259.64,8959.64,790892,34084,2016-04-17,2016-04-30,13
4268,"Flood","Perry","Mississippi",31.172,-88.9923,795302.16,565701.74,415762.38,11981,17183,2016-03-09,2016-03-29,20
4266,"Flood","Marion","Texas",32.798,-94.3571,22896.61,0,0,9987,20337,2016-03-07,2016-03-29,22
4263,"Flood","Ascension","Louisiana",30.2036,-90.9113,0,0,0,125061,28178,2016-03-08,2016-04-08,31
4250,"Flood","Wright","Missouri",37.2702,-92.4687,296.84,0,0,18256,14752,2015-12-23,2016-01-09,17
4526,"Biological","Kent","Delaware",39.086,-75.5686,0,9000,0,179124,24851,2020-01-20,NA,NA
4525,"Biological","Millard","Utah",39.0733,-113.1006,0,0,0,12963,19972,2020-01-20,NA,NA
4524,"Biological","Gila","Arizona",33.7997,-110.8116,0,3132.91,0,53846,20792,2020-01-20,NA,NA
4523,"Biological","Clark","Nevada",36.2152,-115.0135,0,9000,0,2228866,26217,2020-01-20,NA,NA
4241,"Flood","Calhoun","South Carolina",33.6749,-80.7803,0,0,0,14608,23023,2015-10-01,2015-10-23,22
4522,"Biological","Franklin","Maine",44.9741,-70.4441,0,4708.08,0,29933,22083,2020-01-20,NA,NA
4240,"Fire","Calaveras","California",38.2046,-120.5541,204426.38,32900,31490,45828,29329,2015-09-09,2015-10-30,51
4193,"Earthquake","Napa","California",38.5065,-122.3305,461648.49,415183.67,351079.93,138572,34795,2014-08-24,2014-09-07,14
4227,"Flood","Niobrara","Wyoming",43.0565,-104.4754,1151.04,0,0,2377,26797,2015-05-24,2015-06-06,13
4521,"Biological","Antelope","Nebraska",42.1769,-98.0667,0,9000,0,6315,25186,2020-01-20,NA,NA
4520,"Biological","Bayfield","Wisconsin",46.5237,-91.2009,0,0,0,15088,25377,2020-01-20,NA,NA
4518,"Biological","Bradley","Arkansas",33.4664,-92.1624,0,9000,0,10805,19386,2020-01-20,NA,NA
4217,"Flood","Franklin","Kentucky",38.2392,-84.8771,110141.9,79976.85,48694.6,50744,26243,2015-04-02,2015-04-17,15
4517,"Biological","Boone","West Virginia",38.023,-81.7112,0,13670.57,0,21897,21627,2020-01-20,NA,NA
4532,"Biological","Rutland","Vermont",43.5802,-73.0366,0,6326.69,0,58527,26205,2020-01-20,NA,NA
4195,"Flood","Oakland","Michigan",42.6604,-83.3858,10454.03,6594.11,5674.15,1255340,36458,2014-08-11,2014-08-13,2
4516,"Biological","Merrimack","New Hampshire",43.2975,-71.6802,0,5657.6,0,150902,31310,2020-01-20,NA,NA
4515,"Biological","Dearborn","Indiana",39.1452,-84.9732,0,1295,0,49612,27058,2020-01-20,NA,NA
4514,"Biological","Bedford","Tennessee",35.5138,-86.4589,0,9000,0,48937,19303,2020-01-20,NA,NA
4157,"Tornado","Vermilion","Illinois",40.1834,-87.7328,989.16,0,0,76704,21225,2013-11-17,2013-11-17,0
4177,"Severe Storm","Walton","Florida",30.6436,-86.1696,1188.21,1188.21,1188.21,71049,25845,2014-04-28,2014-05-06,8
4175,"Severe Storm","Rankin","Mississippi",32.2641,-89.9458,24726.03,12222.72,5676.72,154119,26897,2014-04-28,2014-05-03,5
4145,"Flood","Adams","Colorado",39.8737,-104.3379,1859.46,1859.46,1859.46,509844,24195,2013-09-11,2013-09-30,19
4509,"Biological","Cass","North Dakota",46.933,-97.248,0,16831.01,0,179937,30529,2020-01-20,NA,NA
4508,"Biological","Lewis and Clark","Montana",47.1224,-112.3905,0,23023.3,0,68714,28400,2020-01-20,NA,NA
4510,"Biological","Maui","Hawaii",20.8596,-156.5649,0,1737.23,0,166657,29517,2020-01-20,NA,NA
4117,"Tornado","Le Flore","Oklahoma",34.9003,-94.7034,135.25,0,0,49999,18141,2013-05-18,2013-06-02,15
4507,"Biological","Carroll","Ohio",40.5796,-81.0897,0,26738.07,0,27195,21783,2020-01-20,NA,NA
4116,"Flood","Bureau","Illinois",41.4041,-89.5286,721.63,0,0,32878,26705,2013-04-16,2013-05-05,19
4506,"Biological","Bucks","Pennsylvania",40.337,-75.1069,0,14685,0,627668,37466,2020-01-20,NA,NA
4089,"Hurricane","Newport","Rhode Island",41.5566,-71.2365,31556.53,21766.9,21766.9,82731,40293,2012-10-26,2012-10-31,5
4086,"Hurricane","Hudson","New Jersey",40.7371,-74.0779,0,0,0,671923,32641,2012-10-26,2012-11-08,13
4085,"Hurricane","Bronx","New York",40.85,-73.8661,227.48,0,0,1427056,18171,2012-10-27,2012-11-08,12
4081,"Hurricane","Franklin","Mississippi",31.4772,-90.8979,7470.93,15225.37,3733.37,7716,24234,2012-08-26,2012-09-11,16
4505,"Biological","Newport","Rhode Island",41.5566,-71.2365,0,9000,0,82731,40293,2020-01-20,NA,NA
4087,"Hurricane","Fairfield","Connecticut",41.2711,-73.3893,31315.85,15495.47,11822.93,944306,48721,2012-10-27,2012-11-08,12
4504,"Biological","Doniphan","Kansas",39.7881,-95.1468,0,9000,0,7616,22713,2020-01-20,NA,NA
4080,"Hurricane","Iberville","Louisiana",30.2586,-91.3495,31370.05,44468.21,17543.46,32626,21177,2012-08-26,2012-09-10,15
4078,"Fire","Cleveland","Oklahoma",35.2031,-97.3265,0,0,0,282189,26920,2012-08-03,2012-08-14,11
4091,"Hurricane","Somerset","Maryland",38.1158,-75.7518,112457.16,48698.56,37955.75,25699,16748,2012-10-26,2012-11-04,9
4503,"Biological","Blount","Alabama",33.9809,-86.5674,0,19149.6,0,57755,20730,2020-01-20,NA,NA
4501,"Biological","Atkinson","Georgia",31.2971,-82.8801,0,7475.2,0,8311,15958,2020-01-20,NA,NA
4502,"Biological","District of Columbia","District of Columbia",38.9047,-77.0163,0,7557.89,0,701974,NA,2020-01-20,NA,NA
4500,"Biological","New London","Connecticut",41.4867,-72.1014,0,4065,0,266868,33782,2020-01-20,NA,NA
4499,"Biological","Sherman","Oregon",45.4052,-120.6894,0,6251,0,1686,24314,2020-01-20,NA,NA
4498,"Biological","Otero","Colorado",37.9026,-103.7164,0,7017,0,18284,19078,2020-01-20,NA,NA
4497,"Biological","Adair","Kentucky",37.1041,-85.2807,0,2250,0,19366,17371,2020-01-20,NA,NA
4042,"Earthquake","Fluvanna","Virginia",37.8419,-78.2772,553988.89,512389.83,500957.83,26873,30881,2011-08-23,2011-10-25,63
4030,"Flood","York","Pennsylvania",39.92,-76.7265,4041.19,4041.19,4041.19,447628,28132,2011-09-03,2011-10-15,42
4068,"Severe Storm","Clay","Florida",29.9831,-81.8579,3658.31,6758.31,3658.31,215294,26577,2012-06-23,2012-07-26,33
4028,"Hurricane","Franklin","Massachusetts",42.5831,-72.5918,288.25,288.25,288.25,70529,29259,2011-08-27,2011-08-29,2
4061,"Severe Storm","Mingo","West Virginia",37.7265,-82.1347,1959.97,1959.97,1959.97,23808,20609,2012-03-15,2012-03-31,16
4023,"Hurricane","Windham","Connecticut",41.83,-71.9874,10607.33,9643.56,9254.56,116657,27893,2011-08-27,2011-09-01,5
4022,"Hurricane","Washington","Vermont",44.2734,-72.6148,0,0,0,58336,NA,2011-08-27,2011-09-02,6
4021,"Hurricane","Hudson","New Jersey",40.7371,-74.0779,86237.02,62239.51,52339.38,671923,32641,2011-08-27,2011-09-05,9
4059,"Severe Storm","Marion","West Virginia",39.51,-80.2434,4411.26,5037.11,4111.11,56233,23229,2012-02-29,2012-03-05,5
4057,"Severe Storm","Grant","Kentucky",38.6488,-84.6246,2503.56,1595.44,1595.44,25107,19829,2012-02-29,2012-03-03,3
4026,"Hurricane","Carroll","New Hampshire",43.8738,-71.2031,938.19,30200,28856,48461,31558,2011-08-26,2011-09-06,11
4025,"Hurricane","Wyoming","Pennsylvania",41.5183,-76.0166,313.22,0,0,27078,NA,2011-08-26,2011-08-30,4
4020,"Hurricane","Herkimer","New York",43.4197,-74.9625,13675.78,16549.9,14511.92,61738,23418,2011-08-26,2011-09-05,10
4019,"Hurricane","Chowan","North Carolina",36.1508,-76.6079,23240.58,16955.56,7207.06,13995,19240,2011-08-25,2011-09-01,7
4012,"Flood","Platte","Missouri",39.3803,-94.7738,0,0,0,102848,35143,2011-06-01,2011-08-01,61
4013,"Flood","Dixon","Nebraska",42.4931,-96.8677,18993.3,24003.3,18893.3,5682,23769,2011-05-24,2011-08-01,69
4494,"Biological","Huron","Michigan",43.8333,-83.019,0,2995,0,31105,22120,2020-01-20,NA,NA
4001,"Severe Storm","Washington","Vermont",44.2734,-72.6148,0,0,0,58336,NA,2011-05-26,2011-05-27,1
4496,"Biological","Berkshire","Massachusetts",42.3707,-73.2064,0,19035,0,125927,29294,2020-01-20,NA,NA
3560,"Other","Miami-Dade","Florida",25.6149,-80.5623,932554.35,205921.02,108000,2705528,23174,2021-06-24,2021-07-04,10
4492,"Biological","Colleton","South Carolina",32.8636,-80.6669,0,22387.3,0,37624,18769,2020-01-20,NA,NA
4490,"Biological","Daviess","Missouri",39.9608,-93.9855,0,9000,0,8294,19890,2020-01-20,NA,NA
3363,"Other","McLennan","Texas",31.5524,-97.2018,0,0,0,254045,21660,2013-04-17,2013-04-20,3
4491,"Biological","Baltimore","Maryland",39.4627,-76.6393,0,9000,0,828193,NA,2020-01-20,NA,NA
4491,"Biological","Baltimore","Maryland",39.3051,-76.6144,0,9000,0,602274,NA,2020-01-20,NA,NA
4489,"Biological","Fulton","Illinois",40.4728,-90.2075,0,9000,0,34654,22318,2020-01-20,NA,NA
4487,"Biological","Anson","North Carolina",34.9738,-80.1027,0,10612.34,0,24430,16752,2020-01-20,NA,NA
4486,"Biological","DeSoto","Florida",27.1863,-81.8095,0,0,0,37371,15088,2020-01-20,NA,NA
4488,"Biological","Atlantic","New Jersey",39.4777,-74.661,0,6411.02,0,264650,27391,2020-01-20,NA,NA
4485,"Biological","Andrews","Texas",32.305,-102.6378,0,18000,0,18227,27429,2020-01-20,NA,NA
4484,"Biological","Jefferson","Louisiana",29.7872,-90.1274,0,3021.02,0,434903,26908,2020-01-20,NA,NA
4512,"Biological","Amelia","Virginia",37.336,-77.9761,0,13750.22,0,12970,25100,2020-01-20,NA,NA
1603,"Hurricane","Iberia","Louisiana",29.8965,-91.7301,384865.41,370168.16,148616.67,70763,22997,2005-08-29,2005-11-01,64
1595,"Hurricane","Santa Rosa","Florida",30.7004,-87.0219,139536.84,49743.45,20685.14,179587,26861,2005-07-07,2005-07-20,13
1604,"Hurricane","Warren","Mississippi",32.3572,-90.852,842.88,2372.08,2372.08,46030,22362,2005-08-29,2005-10-14,46
1599,"Tornado","Campbell","Wyoming",44.2483,-105.5483,0,0,0,46958,33850,2005-08-12,2005-08-12,0
1593,"Hurricane","Washington","Alabama",31.4076,-88.2079,0,0,0,16336,NA,2005-07-10,2005-07-16,6
1980,"Severe Storm","Carter","Missouri",36.9412,-90.9623,73762.98,79386.25,65207.08,6085,18245,2011-04-19,2011-06-06,48
1763,"Severe Storm","Adams","Iowa",41.029,-94.6992,4496.28,4486.53,4286.54,3633,23707,2008-05-25,2008-08-13,80
4677,"Hurricane","Charleston","South Carolina",32.8346,-79.9531,18486.22,13628.28,9072.07,407543,30158,2022-09-25,2022-10-04,9
4680,"Hurricane","Volusia","Florida",29.0583,-81.1819,98259.03,46554.05,27800.05,546107,23973,2022-11-07,2022-11-30,23
4029,"Fire","Anderson","Texas",31.8133,-95.6525,139185.85,30200,28442,57917,18495,2011-08-30,2011-12-31,123
1991,"Severe Storm","Massac","Illinois",37.2189,-88.7076,60806.87,37006.34,29770.84,14041,22047,2011-04-19,2011-06-14,56
1998,"Flood","Monona","Iowa",42.0517,-95.9599,71102.9,66146.47,62866.47,8675,24557,2011-05-25,2011-08-01,68
4683,"Flood","Merced","California",37.1919,-120.7177,0,0,0,273661,18177,2022-12-27,NA,NA
4684,"Severe Storm","Coosa","Alabama",32.9362,-86.2477,37711.48,14845.33,9465.7,10696,18493,2023-01-12,2023-01-12,0
1897,"Severe Storm","Burlington","New Jersey",39.8777,-74.6681,375.48,0,0,446301,36835,2010-03-12,2010-04-15,34
4685,"Severe Storm","Butts","Georgia",33.2879,-83.9572,0,0,0,24463,20363,2023-01-12,2023-01-12,0
1994,"Tornado","Hampden","Massachusetts",42.1351,-72.6316,0,0,0,466647,25817,2011-06-01,2011-06-01,0
1711,"Severe Storm","Coffey","Kansas",38.2369,-95.7341,4974.84,4974.84,4974.84,8218,27627,2007-06-26,2007-07-25,29
1694,"Severe Storm","Essex","New Jersey",40.7872,-74.2471,95032.96,99325.75,86925.49,798698,32181,2007-04-14,2007-04-20,6
1692,"Severe Storm","Ulster","New York",41.8881,-74.2586,927.87,1599.87,927.87,178371,30442,2007-04-14,2007-04-18,4
1589,"Severe Storm","Orange","New York",41.4021,-74.3056,12215.13,12822.37,12283.26,382077,30583,2005-04-02,2005-04-04,2
1670,"Severe Storm","Chenango","New York",42.4935,-75.6116,5713.22,8300.27,7950.33,47527,22097,2006-11-16,2006-11-17,1
1983,"Flood","Adams","Mississippi",31.4829,-91.3535,130819.03,96069.92,69315.11,31103,17544,2011-05-03,2011-06-17,45
1996,"Severe Storm","Big Horn","Montana",45.4234,-107.4897,5258.62,5258.62,5258.62,13302,15695,2011-04-04,2011-07-22,109
1984,"Flood","Hughes","South Dakota",44.389,-99.996,847430.77,875831.05,706822.36,17560,30284,2011-03-11,2011-07-22,133
1995,"Severe Storm","Lamoille","Vermont",44.607,-72.6418,2700.48,2700.48,2700.48,25376,27157,2011-04-23,2011-05-09,16
1989,"Severe Storm","Caddo","Oklahoma",35.1744,-98.3752,197.26,0,0,29179,17858,2011-05-22,2011-05-25,3
1975,"Severe Storm","Saline","Arkansas",34.6467,-92.6766,0,0,0,120990,25962,2011-04-14,2011-06-03,50
1972,"Severe Storm","Monroe","Mississippi",33.8923,-88.4805,10040,24841.86,7500.28,35559,18167,2011-04-15,2011-04-28,13
1931,"Hurricane","Cameron","Texas",26.1333,-97.5182,35338.42,31028.9,28136.95,422135,14710,2010-06-30,2010-08-14,45
1918,"Flood","Wyoming","West Virginia",37.6096,-81.5492,1442552.49,757093.91,660194.13,20890,NA,2010-06-12,2010-06-29,17
1906,"Severe Storm","Holmes","Mississippi",33.1235,-90.092,37001.76,35324.97,28183.5,17414,12113,2010-04-23,2010-04-24,1
1846,"Fire","Lincoln","Oklahoma",35.703,-96.8809,198944.17,122110,118430,34936,21888,2009-04-09,2009-04-12,3
1834,"Tornado","Ashley","Arkansas",33.1912,-91.7685,616.05,0,0,20000,19761,2009-04-09,2009-04-09,0
1817,"Flood","Grays Harbor","Washington",47.1502,-123.7736,0,0,0,73769,21828,2009-01-06,2009-01-16,10
1814,"Flood","Honolulu","Hawaii",21.5008,-158.1053,0,0,0,979682,30361,2008-12-10,2008-12-16,6
1810,"Fire","Riverside","California",33.7437,-115.9938,119853.8,3166,0,2437864,23591,2008-11-13,2008-11-28,15
1792,"Hurricane","Beauregard","Louisiana",30.6486,-93.3432,632.8,632.8,632.8,37387,22509,2008-09-11,2008-11-07,57
1791,"Hurricane","Grimes","Texas",30.5435,-95.9855,35875.69,20495.95,16221.98,28447,20307,2008-09-07,2008-10-02,25
1794,"Hurricane","Wilkinson","Mississippi",31.1611,-91.3109,203944.41,159199.29,104509.05,8727,18717,2008-08-28,2008-09-08,11
1786,"Hurricane","East Feliciana","Louisiana",30.8451,-91.0455,330292.39,195828.04,132547.35,19228,22099,2008-09-01,2008-09-11,10
1780,"Hurricane","Willacy","Texas",26.4693,-97.6622,1886.41,688.65,688.65,21419,11313,2008-07-22,2008-08-01,10
1785,"Severe Storm","Hendry","Florida",26.5535,-81.1659,30701.56,23596.67,20402.7,41472,16133,2008-08-18,2008-09-12,25
1755,"Flood","Penobscot","Maine",45.4006,-68.6495,0,0,0,151696,23895,2008-04-28,2008-05-14,16
1731,"Fire","Riverside","California",33.7437,-115.9938,0,0,0,2437864,23591,2007-10-21,2008-03-31,162
1668,"Severe Storm","Winn","Louisiana",31.9442,-92.6369,57019.73,58049.29,53279.29,14165,16789,2006-10-16,2006-11-08,23
1664,"Earthquake","Hawaii","Hawaii",19.5985,-155.5185,14575.92,14575.92,14575.92,201350,29305,2006-10-15,2007-01-15,92
1624,"Fire","Cooke","Texas",33.6393,-97.2126,0,0,0,40428,25186,2005-11-27,2006-05-14,168
1623,"Fire","Logan","Oklahoma",35.9193,-97.4433,364133,49675.36,33732.5,47401,25620,2005-11-27,2006-03-31,124
1607,"Hurricane","Evangeline","Louisiana",30.7289,-92.4059,112.68,0,0,33491,18023,2005-09-23,2005-11-01,39
1612,"Tornado","Vanderburgh","Indiana",38.0249,-87.5859,9266.91,4973.91,3493.41,181548,24378,2005-11-06,2005-11-06,0
1609,"Hurricane","Collier","Florida",26.1107,-81.3475,1049.58,0,0,379345,36439,2005-10-23,2005-11-18,26
1606,"Hurricane","Blanco","Texas",30.2664,-98.3999,0,2000,0,11733,26781,2005-09-23,2005-10-14,21
1605,"Hurricane","Sumter","Alabama",32.5911,-88.1988,29541.59,48191.27,19401.66,12595,14156,2005-08-29,2005-09-26,28
1566,"Hurricane","Fairfield","South Carolina",34.3951,-81.1212,0,0,0,22406,20257,2004-09-06,2004-10-11,35
1561,"Hurricane","Brevard","Florida",28.2936,-80.7323,7202735.89,872948.61,290871.18,594001,27009,2004-09-24,2004-11-17,54
1557,"Hurricane","Allegheny","Pennsylvania",40.4688,-79.9812,142892.92,62621.94,38378,1218380,31593,2004-09-17,2004-10-01,14
1554,"Hurricane","Miller","Georgia",31.164,-84.7308,26598.06,19430.62,13244.31,5725,19674,2004-09-14,2004-10-30,46
1553,"Hurricane","Alleghany","North Carolina",36.4916,-81.127,1275,0,0,11085,19510,2004-09-16,2004-09-23,7
1551,"Hurricane","Lake","Florida",28.7615,-81.7113,1891.64,1891.64,0,356115,24183,2004-09-13,2004-11-17,65
1550,"Hurricane","Jackson","Mississippi",30.5423,-88.6357,473131.35,401242.6,228583.65,142872,23879,2004-09-13,2004-09-20,7
1549,"Hurricane","Clay","Alabama",33.2691,-85.8605,3304.83,3304.83,3304.83,13285,18694,2004-09-13,2004-09-30,17
1546,"Hurricane","Alleghany","North Carolina",36.4916,-81.127,7318.66,8268.66,5698.05,11085,19510,2004-09-07,2004-09-12,5
1548,"Hurricane","Orleans","Louisiana",30.0687,-89.9288,19290.12,18727.39,9738.28,391249,26500,2004-09-13,2004-09-26,13
1545,"Hurricane","Dixie","Florida",29.6082,-83.1588,2198.16,2148.16,2148.16,16740,16851,2004-09-03,2004-10-08,35
1539,"Hurricane","Charlotte","Florida",26.9055,-81.9123,519.31,0,0,185926,26286,2004-08-11,2004-08-30,19
